GpuNameId,GpuName,GpuArchitecture,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuBusInterface,GpuNumberOfComputeUnits,GpuDieSize,GpuDirectX,GpuNumberOfExecutionUnits,GpuFP32Performance,GpuMemoryBus,GpuMemorySize,GpuMemoryType,GpuOpenCL,GpuOpenGL,GpuPixelRate,GpuProcessSize,GpuNumberOfROPs,GpuShaderModel,GpuNumberOfShadingUnits,GpuNumberOfTMUs,GpuTextureRate,GpuNumberOfTransistors,GpuVulkan,priceGpu,imgGpu
26,NVIDIA GeForce RTX 2080 Ti,Turing,616000,1350,1545,PCIe 3.0 x16,?,0.000754,12 Ultimate,?,13450000,352,11000,GDDR6,2,4.6,136000,12,88,6.5,4352,272,420200,18600,1.2.131,7490,https://www.nvidia.com/content/dam/en-zz/Solutions/geforce/geforce-rtx-turing/overview/shop-2080-ti-1070@2x.jpg
25,NVIDIA GeForce RTX 2080,Turing,448000,1515,1710,PCIe 3.0 x16,?,0.000545,12 Ultimate,?,10070000,256,8000,GDDR6,1.2,4.6,109400,12,64,6.5,2944,184,314600,13600,1.2.131,6990,https://images.nvidia.com/aem-dam/Solutions/geforce/news/geforce-rtx-graphics-cards/geforce-rtx-2080-technical-photography-angled-003.png
13,NVIDIA GeForce GTX 1080 Ti,Pascal,484400,1481,1582,PCIe 3.0 x16,?,0.000471,12,?,11340000,352,11000,GDDR5X,1.2,4.6,139200,16,88,6.4,3584,224,354400,11800,1.2.131,5590,https://images.nvidia.com/geforce-com/international/images/nvidia-geforce-gtx-1080-ti/GeForce_GTX_1080ti_3qtr_top_left.png
20,NVIDIA GeForce GTX TITAN X,Maxwell 2.0,336600,1000,1089,PCIe 3.0 x16,?,0.000601,12,?,6691000,384,12000,GDDR5,1.2,4.6,104500,28,96,6.4,3072,192,209100,8000,1.1.126,9487,https://images.anandtech.com/doci/9059/TitanCar2_678x452.jpg
24,NVIDIA GeForce RTX 2070 SUPER,Turing,448000,1605,1770,PCIe 3.0 x16,?,0.000545,12 Ultimate,?,9062000,256,8000,GDDR6,1.2,4.6,113300,12,64,6.5,2560,160,283200,13600,1.2.131,6400,https://bit-tech.net/media/image/2019/7/dcc892bf-4f44-46f3-bb7d-d39cb83af0f0.jpeg
23,NVIDIA GeForce RTX 2070,Turing,448000,1410,1620,PCIe 3.0 x16,?,0.000445,12 Ultimate,?,7465000,256,8000,GDDR6,1.2,4.6,103700,12,64,6.5,2304,144,233300,10800,1.2.131,6290,https://m.media-amazon.com/images/I/51YENF6KBeL.jpg
12,NVIDIA GeForce GTX 1080 11Gbps,Pascal,352300,1607,1733,PCIe 3.0 x16,?,0.000314,12,?,8873000,256,8000,GDDR5X,1.2,4.6,110900,16,64,6.4,2560,160,277300,7200,1.2.131,5379,https://www.techpowerup.com/img/17-04-20/59f6b7daab0e.jpg
22,NVIDIA GeForce RTX 2060 SUPER,Turing,448000,1470,1650,PCIe 3.0 x16,?,0.000445,12 Ultimate,?,7181000,256,8000,GDDR6,1.2,4.6,105600,12,64,6.5,2176,136,224400,10800,1.2.131,9882,https://m.media-amazon.com/images/I/61Sc1YDgA0L.jpg
21,NVIDIA GeForce RTX 2060,Turing,336000,1365,1680,PCIe 3.0 x16,?,0.000445,12 Ultimate,?,6451000,192,6000,GDDR6,1.2,4.6,80640,12,48,6.5,1920,120,201600,10800,1.2.131,8806,https://www.extremeit.com/wp-content/uploads/2019/06/geforce-rtx-2060-001.png
11,NVIDIA GeForce GTX 1070 Ti,Pascal,256300,1607,1683,PCIe 3.0 x16,?,0.000314,12,?,8186000,256,8000,GDDR5,1.2,4.6,107700,16,64,6.4,2432,152,255800,7200,1.2.131,4680,https://www.nvidia.com/content/dam/en-zz/Solutions/geforce/news/nvidia-geforce-gtx-1070-ti/nvidia-geforce-gtx-1070-ti-technical-photo-front.png
