idcooling,namecooling,pricecooling,imgcooling
1,ASUS ROG Strix LC II 240 RGB Black Edition,"6,190",https://notebookspec.com/storage/pc-cooling/367-1.png
2,SILVER STONE Permafrost PF360 ARGB V2 Black,"3,200",https://notebookspec.com/storage/pc-cooling/357-cooling_202_silver-stone--permafrost-pf360.png
3,NZXT Kraken X53 RGB,"4,430",https://notebookspec.com/storage/pc-cooling/cooling_230_nzxt-kraken-x53-rgb.png
4,COOLER MASTER MasterLiquid PL240 Flux,"4,790",https://notebookspec.com/storage/pc-cooling/359-1.png
5,NZXT Kraken Z63,"9,815",https://notebookspec.com/storage/pc-cooling/cooling_219_nzxt-kraken-z63.png
6,ASUS TUF Gaming LC 120 ARGB Black,"2,650",https://notebookspec.com/storage/pc-cooling/372-1.png
7,COOLER MASTER MasterLiquid ML240L RGB V2,"2,365",https://notebookspec.com/storage/pc-cooling/cooling_205_cooler-master-masterliquid-ml240l-rgb-v2.png
8,ASUS ROG Ryujin 360,"9,900",https://notebookspec.com/storage/pc-cooling/cooling_281_asus-rog-ryujin-360.png
9,ID-COOLING ZOOMFLOW,"3,175",https://notebookspec.com/storage/pc-cooling/cooling_183_id-cooling-zoomflow-240-rgb.png
10,ID-COOLING FROSTFLOW,"2,590",https://notebookspec.com/storage/pc-cooling/cooling_51_id-cooling-frostflow-240l-w.jpg
